Bandit,Reward,Algorithm
94,0,EpsilonGreedy
95,0,EpsilonGreedy
96,1,EpsilonGreedy
97,1,EpsilonGreedy
98,1,EpsilonGreedy
99,0,EpsilonGreedy
100,0,EpsilonGreedy
101,1,EpsilonGreedy
102,0,EpsilonGreedy
103,0,EpsilonGreedy
104,0,EpsilonGreedy
105,0,EpsilonGreedy
106,1,EpsilonGreedy
107,1,EpsilonGreedy
108,0,EpsilonGreedy
109,0,EpsilonGreedy
110,1,EpsilonGreedy
111,1,EpsilonGreedy
112,0,EpsilonGreedy
113,0,EpsilonGreedy
114,1,EpsilonGreedy
115,0,EpsilonGreedy
116,0,EpsilonGreedy
117,1,EpsilonGreedy
118,0,EpsilonGreedy
119,0,EpsilonGreedy
120,0,EpsilonGreedy
121,0,EpsilonGreedy
122,0,EpsilonGreedy
123,1,EpsilonGreedy
124,0,EpsilonGreedy
125,1,EpsilonGreedy
126,0,EpsilonGreedy
127,1,EpsilonGreedy
128,0,EpsilonGreedy
129,1,EpsilonGreedy
130,1,EpsilonGreedy
131,0,EpsilonGreedy
132,0,EpsilonGreedy
133,1,EpsilonGreedy
134,1,EpsilonGreedy
135,1,EpsilonGreedy
136,1,EpsilonGreedy
137,0,EpsilonGreedy
138,0,EpsilonGreedy
139,0,EpsilonGreedy
140,0,EpsilonGreedy
141,0,EpsilonGreedy
142,0,EpsilonGreedy
143,0,EpsilonGreedy
144,1,EpsilonGreedy
145,1,EpsilonGreedy
146,1,EpsilonGreedy
147,1,EpsilonGreedy
148,0,EpsilonGreedy
149,1,EpsilonGreedy
150,1,EpsilonGreedy
151,0,EpsilonGreedy
152,0,EpsilonGreedy
153,0,EpsilonGreedy
154,0,EpsilonGreedy
155,0,EpsilonGreedy
156,0,EpsilonGreedy
157,1,EpsilonGreedy
158,0,EpsilonGreedy
159,0,EpsilonGreedy
160,1,EpsilonGreedy
161,1,EpsilonGreedy
162,1,EpsilonGreedy
163,0,EpsilonGreedy
164,0,EpsilonGreedy
165,0,EpsilonGreedy
166,1,EpsilonGreedy
167,0,EpsilonGreedy
168,0,EpsilonGreedy
169,0,EpsilonGreedy
170,0,EpsilonGreedy
171,1,EpsilonGreedy
172,1,EpsilonGreedy
173,0,EpsilonGreedy
174,0,EpsilonGreedy
175,0,EpsilonGreedy
176,0,EpsilonGreedy
177,0,EpsilonGreedy
178,0,EpsilonGreedy
179,0,EpsilonGreedy
180,1,EpsilonGreedy
181,0,EpsilonGreedy
182,0,EpsilonGreedy
183,0,EpsilonGreedy
184,0,EpsilonGreedy
185,0,EpsilonGreedy
186,0,EpsilonGreedy
187,1,EpsilonGreedy
188,1,EpsilonGreedy
189,0,EpsilonGreedy
190,0,EpsilonGreedy
191,1,EpsilonGreedy
192,0,EpsilonGreedy
193,0,EpsilonGreedy
194,0,EpsilonGreedy
195,0,EpsilonGreedy
196,0,EpsilonGreedy
197,0,EpsilonGreedy
198,1,EpsilonGreedy
199,0,EpsilonGreedy
200,0,EpsilonGreedy
201,1,EpsilonGreedy
202,1,EpsilonGreedy
203,0,EpsilonGreedy
204,0,EpsilonGreedy
205,1,EpsilonGreedy
206,0,EpsilonGreedy
207,1,EpsilonGreedy
208,0,EpsilonGreedy
209,1,EpsilonGreedy
210,0,EpsilonGreedy
211,1,EpsilonGreedy
212,0,EpsilonGreedy
213,1,EpsilonGreedy
214,1,EpsilonGreedy
215,0,EpsilonGreedy
216,1,EpsilonGreedy
217,0,EpsilonGreedy
218,0,EpsilonGreedy
219,0,EpsilonGreedy
220,0,EpsilonGreedy
221,1,EpsilonGreedy
222,1,EpsilonGreedy
223,0,EpsilonGreedy
224,0,EpsilonGreedy
225,0,EpsilonGreedy
226,0,EpsilonGreedy
227,0,EpsilonGreedy
228,0,EpsilonGreedy
229,1,EpsilonGreedy
230,0,EpsilonGreedy
231,0,EpsilonGreedy
232,0,EpsilonGreedy
233,1,EpsilonGreedy
234,1,EpsilonGreedy
235,0,EpsilonGreedy
236,1,EpsilonGreedy
237,1,EpsilonGreedy
238,0,EpsilonGreedy
239,0,EpsilonGreedy
240,0,EpsilonGreedy
241,0,EpsilonGreedy
242,0,EpsilonGreedy
243,0,EpsilonGreedy
244,1,EpsilonGreedy
245,1,EpsilonGreedy
246,1,EpsilonGreedy
247,1,EpsilonGreedy
248,1,EpsilonGreedy
249,0,EpsilonGreedy
250,1,EpsilonGreedy
251,0,EpsilonGreedy
252,1,EpsilonGreedy
253,0,EpsilonGreedy
254,0,EpsilonGreedy
255,0,EpsilonGreedy
256,1,EpsilonGreedy
257,0,EpsilonGreedy
258,1,EpsilonGreedy
259,0,EpsilonGreedy
260,1,EpsilonGreedy
261,0,EpsilonGreedy
262,0,EpsilonGreedy
263,1,EpsilonGreedy
264,0,EpsilonGreedy
265,0,EpsilonGreedy
266,0,EpsilonGreedy
267,0,EpsilonGreedy
268,0,EpsilonGreedy
269,0,EpsilonGreedy
270,1,EpsilonGreedy
271,1,EpsilonGreedy
272,1,EpsilonGreedy
273,0,EpsilonGreedy
274,1,EpsilonGreedy
275,0,EpsilonGreedy
276,0,EpsilonGreedy
277,0,EpsilonGreedy
278,0,EpsilonGreedy
279,0,EpsilonGreedy
280,0,EpsilonGreedy
281,1,EpsilonGreedy
282,1,EpsilonGreedy
283,0,EpsilonGreedy
284,0,EpsilonGreedy
285,0,EpsilonGreedy
286,0,EpsilonGreedy
287,0,EpsilonGreedy
288,0,EpsilonGreedy
289,1,EpsilonGreedy
290,1,EpsilonGreedy
291,0,EpsilonGreedy
292,0,EpsilonGreedy
293,0,EpsilonGreedy
294,1,EpsilonGreedy
295,0,EpsilonGreedy
296,0,EpsilonGreedy
297,0,EpsilonGreedy
298,0,EpsilonGreedy
299,0,EpsilonGreedy
300,1,EpsilonGreedy
301,0,EpsilonGreedy
302,0,EpsilonGreedy
303,0,EpsilonGreedy
304,1,EpsilonGreedy
305,0,EpsilonGreedy
306,0,EpsilonGreedy
307,1,EpsilonGreedy
308,0,EpsilonGreedy
309,1,EpsilonGreedy
310,1,EpsilonGreedy
311,0,EpsilonGreedy
312,1,EpsilonGreedy
313,0,EpsilonGreedy
314,0,EpsilonGreedy
315,0,EpsilonGreedy
316,0,EpsilonGreedy
317,0,EpsilonGreedy
318,0,EpsilonGreedy
319,1,EpsilonGreedy
320,0,EpsilonGreedy
321,1,EpsilonGreedy
322,0,EpsilonGreedy
323,0,EpsilonGreedy
324,0,EpsilonGreedy
325,0,EpsilonGreedy
326,0,EpsilonGreedy
327,0,EpsilonGreedy
328,0,EpsilonGreedy
329,0,EpsilonGreedy
330,0,EpsilonGreedy
331,0,EpsilonGreedy
332,0,EpsilonGreedy
333,1,EpsilonGreedy
334,0,EpsilonGreedy
335,0,EpsilonGreedy
336,0,EpsilonGreedy
337,0,EpsilonGreedy
338,0,EpsilonGreedy
339,1,EpsilonGreedy
340,1,EpsilonGreedy
341,1,EpsilonGreedy
342,0,EpsilonGreedy
343,1,EpsilonGreedy
344,0,EpsilonGreedy
345,0,EpsilonGreedy
346,0,EpsilonGreedy
347,0,EpsilonGreedy
348,0,EpsilonGreedy
349,0,EpsilonGreedy
350,0,EpsilonGreedy
351,0,EpsilonGreedy
352,1,EpsilonGreedy
353,0,EpsilonGreedy
354,0,EpsilonGreedy
355,0,EpsilonGreedy
356,0,EpsilonGreedy
357,1,EpsilonGreedy
358,0,EpsilonGreedy
359,1,EpsilonGreedy
360,0,EpsilonGreedy
361,0,EpsilonGreedy
362,0,EpsilonGreedy
363,0,EpsilonGreedy
364,1,EpsilonGreedy
365,1,EpsilonGreedy
366,1,EpsilonGreedy
367,0,EpsilonGreedy
368,0,EpsilonGreedy
369,0,EpsilonGreedy
370,0,EpsilonGreedy
371,0,EpsilonGreedy
372,0,EpsilonGreedy
373,0,EpsilonGreedy
374,1,EpsilonGreedy
375,0,EpsilonGreedy
376,0,EpsilonGreedy
377,0,EpsilonGreedy
378,1,EpsilonGreedy
379,1,EpsilonGreedy
380,0,EpsilonGreedy
381,1,EpsilonGreedy
382,0,EpsilonGreedy
383,1,EpsilonGreedy
384,0,EpsilonGreedy
385,1,EpsilonGreedy
386,0,EpsilonGreedy
387,0,EpsilonGreedy
388,0,EpsilonGreedy
389,0,EpsilonGreedy
390,0,EpsilonGreedy
391,1,EpsilonGreedy
392,0,EpsilonGreedy
393,0,EpsilonGreedy
394,1,EpsilonGreedy
395,0,EpsilonGreedy
396,1,EpsilonGreedy
397,0,EpsilonGreedy
398,0,EpsilonGreedy
399,0,EpsilonGreedy
400,0,EpsilonGreedy
401,0,EpsilonGreedy
402,0,EpsilonGreedy
403,0,EpsilonGreedy
404,0,EpsilonGreedy
405,1,EpsilonGreedy
406,0,EpsilonGreedy
407,0,EpsilonGreedy
408,0,EpsilonGreedy
409,0,EpsilonGreedy
410,0,EpsilonGreedy
411,0,EpsilonGreedy
412,1,EpsilonGreedy
413,0,EpsilonGreedy
414,1,EpsilonGreedy
415,0,EpsilonGreedy
416,1,EpsilonGreedy
417,0,EpsilonGreedy
418,0,EpsilonGreedy
419,1,EpsilonGreedy
420,0,EpsilonGreedy
421,0,EpsilonGreedy
422,0,EpsilonGreedy
423,0,EpsilonGreedy
424,0,EpsilonGreedy
425,0,EpsilonGreedy
426,0,EpsilonGreedy
427,1,EpsilonGreedy
428,1,EpsilonGreedy
429,1,EpsilonGreedy
430,1,EpsilonGreedy
431,0,EpsilonGreedy
432,1,EpsilonGreedy
433,0,EpsilonGreedy
434,1,EpsilonGreedy
435,1,EpsilonGreedy
436,1,EpsilonGreedy
437,0,EpsilonGreedy
438,0,EpsilonGreedy
439,0,EpsilonGreedy
440,1,EpsilonGreedy
441,0,EpsilonGreedy
442,0,EpsilonGreedy
443,1,EpsilonGreedy
444,0,EpsilonGreedy
445,0,EpsilonGreedy
446,0,EpsilonGreedy
447,0,EpsilonGreedy
448,1,EpsilonGreedy
449,0,EpsilonGreedy
450,0,EpsilonGreedy
451,0,EpsilonGreedy
452,0,EpsilonGreedy
453,1,EpsilonGreedy
454,0,EpsilonGreedy
455,1,EpsilonGreedy
456,0,EpsilonGreedy
457,0,EpsilonGreedy
458,0,EpsilonGreedy
459,0,EpsilonGreedy
460,1,EpsilonGreedy
461,1,EpsilonGreedy
462,0,EpsilonGreedy
463,0,EpsilonGreedy
464,0,EpsilonGreedy
465,1,EpsilonGreedy
466,0,EpsilonGreedy
467,1,EpsilonGreedy
468,0,EpsilonGreedy
469,0,EpsilonGreedy
470,0,EpsilonGreedy
471,0,EpsilonGreedy
472,0,EpsilonGreedy
473,0,EpsilonGreedy
474,0,EpsilonGreedy
475,0,EpsilonGreedy
476,0,EpsilonGreedy
477,0,EpsilonGreedy
478,0,EpsilonGreedy
479,0,EpsilonGreedy
480,0,EpsilonGreedy
481,0,EpsilonGreedy
482,1,EpsilonGreedy
483,0,EpsilonGreedy
484,0,EpsilonGreedy
485,0,EpsilonGreedy
486,0,EpsilonGreedy
487,0,EpsilonGreedy
488,0,EpsilonGreedy
489,1,EpsilonGreedy
490,0,EpsilonGreedy
491,1,EpsilonGreedy
492,0,EpsilonGreedy
493,0,EpsilonGreedy
494,0,EpsilonGreedy
495,0,EpsilonGreedy
496,1,EpsilonGreedy
497,0,EpsilonGreedy
498,1,EpsilonGreedy
499,0,EpsilonGreedy
500,1,EpsilonGreedy
501,0,EpsilonGreedy
502,0,EpsilonGreedy
503,0,EpsilonGreedy
504,1,EpsilonGreedy
505,0,EpsilonGreedy
506,1,EpsilonGreedy
507,0,EpsilonGreedy
508,1,EpsilonGreedy
509,0,EpsilonGreedy
510,0,EpsilonGreedy
511,1,EpsilonGreedy
512,0,EpsilonGreedy
513,0,EpsilonGreedy
514,0,EpsilonGreedy
515,0,EpsilonGreedy
516,1,EpsilonGreedy
517,1,EpsilonGreedy
518,0,EpsilonGreedy
519,0,EpsilonGreedy
520,0,EpsilonGreedy
521,0,EpsilonGreedy
522,1,EpsilonGreedy
523,0,EpsilonGreedy
524,0,EpsilonGreedy
525,1,EpsilonGreedy
526,0,EpsilonGreedy
527,0,EpsilonGreedy
528,0,EpsilonGreedy
529,0,EpsilonGreedy
530,0,EpsilonGreedy
531,1,EpsilonGreedy
532,0,EpsilonGreedy
533,0,EpsilonGreedy
534,0,EpsilonGreedy
535,0,EpsilonGreedy
536,1,EpsilonGreedy
537,1,EpsilonGreedy
538,1,EpsilonGreedy
539,0,EpsilonGreedy
540,1,EpsilonGreedy
541,1,EpsilonGreedy
542,0,EpsilonGreedy
543,0,EpsilonGreedy
544,0,EpsilonGreedy
545,0,EpsilonGreedy
546,0,EpsilonGreedy
547,1,EpsilonGreedy
548,1,EpsilonGreedy
549,0,EpsilonGreedy
550,0,EpsilonGreedy
551,0,EpsilonGreedy
552,0,EpsilonGreedy
553,0,EpsilonGreedy
554,1,EpsilonGreedy
555,0,EpsilonGreedy
556,1,EpsilonGreedy
557,0,EpsilonGreedy
558,0,EpsilonGreedy
559,0,EpsilonGreedy
560,1,EpsilonGreedy
561,0,EpsilonGreedy
562,0,EpsilonGreedy
563,0,EpsilonGreedy
564,1,EpsilonGreedy
565,0,EpsilonGreedy
566,0,EpsilonGreedy
567,0,EpsilonGreedy
568,1,EpsilonGreedy
569,0,EpsilonGreedy
570,1,EpsilonGreedy
571,0,EpsilonGreedy
572,0,EpsilonGreedy
573,0,EpsilonGreedy
574,0,EpsilonGreedy
575,1,EpsilonGreedy
576,0,EpsilonGreedy
577,0,EpsilonGreedy
578,0,EpsilonGreedy
579,1,EpsilonGreedy
580,0,EpsilonGreedy
581,0,EpsilonGreedy
582,1,EpsilonGreedy
583,0,EpsilonGreedy
584,1,EpsilonGreedy
585,0,EpsilonGreedy
586,0,EpsilonGreedy
587,1,EpsilonGreedy
588,0,EpsilonGreedy
589,0,EpsilonGreedy
590,0,EpsilonGreedy
591,0,EpsilonGreedy
592,1,EpsilonGreedy
593,1,EpsilonGreedy
594,0,EpsilonGreedy
595,0,EpsilonGreedy
596,0,EpsilonGreedy
597,0,EpsilonGreedy
598,1,EpsilonGreedy
599,0,EpsilonGreedy
600,0,EpsilonGreedy
601,0,EpsilonGreedy
602,0,EpsilonGreedy
603,1,EpsilonGreedy
604,1,EpsilonGreedy
605,0,EpsilonGreedy
606,0,EpsilonGreedy
607,0,EpsilonGreedy
608,0,EpsilonGreedy
609,0,EpsilonGreedy
610,0,EpsilonGreedy
611,0,EpsilonGreedy
612,1,EpsilonGreedy
613,1,EpsilonGreedy
614,0,EpsilonGreedy
615,0,EpsilonGreedy
616,0,EpsilonGreedy
617,0,EpsilonGreedy
618,1,EpsilonGreedy
619,0,EpsilonGreedy
620,0,EpsilonGreedy
621,1,EpsilonGreedy
622,0,EpsilonGreedy
623,0,EpsilonGreedy
624,0,EpsilonGreedy
625,1,EpsilonGreedy
626,0,EpsilonGreedy
627,1,EpsilonGreedy
628,1,EpsilonGreedy
629,0,EpsilonGreedy
630,0,EpsilonGreedy
631,0,EpsilonGreedy
632,0,EpsilonGreedy
633,0,EpsilonGreedy
634,0,EpsilonGreedy
635,1,EpsilonGreedy
636,0,EpsilonGreedy
637,0,EpsilonGreedy
638,1,EpsilonGreedy
639,0,EpsilonGreedy
640,0,EpsilonGreedy
641,0,EpsilonGreedy
642,0,EpsilonGreedy
643,0,EpsilonGreedy
644,1,EpsilonGreedy
645,0,EpsilonGreedy
646,0,EpsilonGreedy
647,1,EpsilonGreedy
648,0,EpsilonGreedy
649,0,EpsilonGreedy
650,0,EpsilonGreedy
651,1,EpsilonGreedy
652,0,EpsilonGreedy
653,0,EpsilonGreedy
654,0,EpsilonGreedy
655,0,EpsilonGreedy
656,0,EpsilonGreedy
657,1,EpsilonGreedy
658,0,EpsilonGreedy
659,1,EpsilonGreedy
660,0,EpsilonGreedy
661,1,EpsilonGreedy
662,0,EpsilonGreedy
663,0,EpsilonGreedy
664,0,EpsilonGreedy
665,0,EpsilonGreedy
666,0,EpsilonGreedy
667,0,EpsilonGreedy
668,0,EpsilonGreedy
669,0,EpsilonGreedy
670,0,EpsilonGreedy
671,0,EpsilonGreedy
672,0,EpsilonGreedy
673,1,EpsilonGreedy
674,0,EpsilonGreedy
675,0,EpsilonGreedy
676,0,EpsilonGreedy
677,0,EpsilonGreedy
678,0,EpsilonGreedy
679,0,EpsilonGreedy
680,0,EpsilonGreedy
681,1,EpsilonGreedy
682,0,EpsilonGreedy
683,1,EpsilonGreedy
684,0,EpsilonGreedy
685,0,EpsilonGreedy
686,0,EpsilonGreedy
687,0,EpsilonGreedy
688,1,EpsilonGreedy
689,0,EpsilonGreedy
690,0,EpsilonGreedy
691,1,EpsilonGreedy
692,0,EpsilonGreedy
693,0,EpsilonGreedy
694,0,EpsilonGreedy
695,0,EpsilonGreedy
696,1,EpsilonGreedy
697,1,EpsilonGreedy
698,0,EpsilonGreedy
699,0,EpsilonGreedy
700,0,EpsilonGreedy
701,1,EpsilonGreedy
702,0,EpsilonGreedy
703,0,EpsilonGreedy
704,0,EpsilonGreedy
705,1,EpsilonGreedy
706,0,EpsilonGreedy
707,0,EpsilonGreedy
708,0,EpsilonGreedy
709,1,EpsilonGreedy
710,0,EpsilonGreedy
711,1,EpsilonGreedy
712,1,EpsilonGreedy
713,0,EpsilonGreedy
714,1,EpsilonGreedy
715,0,EpsilonGreedy
716,0,EpsilonGreedy
717,0,EpsilonGreedy
718,0,EpsilonGreedy
719,1,EpsilonGreedy
720,0,EpsilonGreedy
721,0,EpsilonGreedy
722,1,EpsilonGreedy
723,0,EpsilonGreedy
724,0,EpsilonGreedy
725,0,EpsilonGreedy
726,0,EpsilonGreedy
727,0,EpsilonGreedy
728,0,EpsilonGreedy
729,0,EpsilonGreedy
730,1,EpsilonGreedy
731,1,EpsilonGreedy
732,0,EpsilonGreedy
733,0,EpsilonGreedy
734,1,EpsilonGreedy
735,0,EpsilonGreedy
736,0,EpsilonGreedy
737,1,EpsilonGreedy
738,0,EpsilonGreedy
739,1,EpsilonGreedy
740,0,EpsilonGreedy
741,0,EpsilonGreedy
742,1,EpsilonGreedy
743,1,EpsilonGreedy
744,1,EpsilonGreedy
745,0,EpsilonGreedy
746,0,EpsilonGreedy
747,0,EpsilonGreedy
748,0,EpsilonGreedy
749,0,EpsilonGreedy
750,0,EpsilonGreedy
751,0,EpsilonGreedy
752,0,EpsilonGreedy
753,1,EpsilonGreedy
754,0,EpsilonGreedy
755,1,EpsilonGreedy
756,0,EpsilonGreedy
757,0,EpsilonGreedy
758,0,EpsilonGreedy
759,1,EpsilonGreedy
760,0,EpsilonGreedy
761,0,EpsilonGreedy
762,1,EpsilonGreedy
763,0,EpsilonGreedy
764,0,EpsilonGreedy
765,1,EpsilonGreedy
766,1,EpsilonGreedy
767,0,EpsilonGreedy
768,1,EpsilonGreedy
769,0,EpsilonGreedy
770,0,EpsilonGreedy
771,0,EpsilonGreedy
772,0,EpsilonGreedy
773,0,EpsilonGreedy
774,1,EpsilonGreedy
775,0,EpsilonGreedy
776,0,EpsilonGreedy
777,0,EpsilonGreedy
778,0,EpsilonGreedy
779,1,EpsilonGreedy
780,0,EpsilonGreedy
781,0,EpsilonGreedy
782,0,EpsilonGreedy
783,0,EpsilonGreedy
784,1,EpsilonGreedy
785,1,EpsilonGreedy
786,0,EpsilonGreedy
787,1,EpsilonGreedy
788,0,EpsilonGreedy
789,0,EpsilonGreedy
790,1,EpsilonGreedy
791,1,EpsilonGreedy
792,0,EpsilonGreedy
793,1,EpsilonGreedy
794,1,EpsilonGreedy
795,0,EpsilonGreedy
796,0,EpsilonGreedy
797,0,EpsilonGreedy
798,1,EpsilonGreedy
799,1,EpsilonGreedy
800,0,EpsilonGreedy
801,0,EpsilonGreedy
802,0,EpsilonGreedy
803,0,EpsilonGreedy
804,0,EpsilonGreedy
805,0,EpsilonGreedy
806,1,EpsilonGreedy
807,1,EpsilonGreedy
808,0,EpsilonGreedy
809,1,EpsilonGreedy
810,0,EpsilonGreedy
811,0,EpsilonGreedy
812,0,EpsilonGreedy
813,0,EpsilonGreedy
814,0,EpsilonGreedy
815,0,EpsilonGreedy
816,1,EpsilonGreedy
817,0,EpsilonGreedy
818,0,EpsilonGreedy
819,0,EpsilonGreedy
820,0,EpsilonGreedy
821,0,EpsilonGreedy
822,0,EpsilonGreedy
823,1,EpsilonGreedy
824,0,EpsilonGreedy
825,0,EpsilonGreedy
826,1,EpsilonGreedy
827,0,EpsilonGreedy
828,1,EpsilonGreedy
829,0,EpsilonGreedy
830,0,EpsilonGreedy
831,0,EpsilonGreedy
832,0,EpsilonGreedy
833,0,EpsilonGreedy
834,1,EpsilonGreedy
835,0,EpsilonGreedy
836,1,EpsilonGreedy
837,1,EpsilonGreedy
838,0,EpsilonGreedy
839,1,EpsilonGreedy
840,1,EpsilonGreedy
841,0,EpsilonGreedy
842,1,EpsilonGreedy
843,1,EpsilonGreedy
844,0,EpsilonGreedy
845,0,EpsilonGreedy
846,0,EpsilonGreedy
847,0,EpsilonGreedy
848,1,EpsilonGreedy
849,0,EpsilonGreedy
850,0,EpsilonGreedy
851,0,EpsilonGreedy
852,0,EpsilonGreedy
853,0,EpsilonGreedy
854,0,EpsilonGreedy
855,0,EpsilonGreedy
856,1,EpsilonGreedy
857,0,EpsilonGreedy
858,0,EpsilonGreedy
859,0,EpsilonGreedy
860,0,EpsilonGreedy
861,1,EpsilonGreedy
862,0,EpsilonGreedy
863,0,EpsilonGreedy
864,1,EpsilonGreedy
865,0,EpsilonGreedy
866,0,EpsilonGreedy
867,1,EpsilonGreedy
868,0,EpsilonGreedy
869,0,EpsilonGreedy
870,0,EpsilonGreedy
871,1,EpsilonGreedy
872,1,EpsilonGreedy
873,0,EpsilonGreedy
874,0,EpsilonGreedy
875,0,EpsilonGreedy
876,0,EpsilonGreedy
877,0,EpsilonGreedy
878,0,EpsilonGreedy
879,1,EpsilonGreedy
880,0,EpsilonGreedy
881,1,EpsilonGreedy
882,0,EpsilonGreedy
883,1,EpsilonGreedy
884,0,EpsilonGreedy
885,0,EpsilonGreedy
886,1,EpsilonGreedy
887,0,EpsilonGreedy
888,0,EpsilonGreedy
889,1,EpsilonGreedy
890,0,EpsilonGreedy
891,0,EpsilonGreedy
892,0,EpsilonGreedy
893,0,EpsilonGreedy
894,1,EpsilonGreedy
895,0,EpsilonGreedy
896,1,EpsilonGreedy
897,1,EpsilonGreedy
898,0,EpsilonGreedy
899,0,EpsilonGreedy
900,0,EpsilonGreedy
901,1,EpsilonGreedy
902,0,EpsilonGreedy
903,0,EpsilonGreedy
904,0,EpsilonGreedy
905,1,EpsilonGreedy
906,0,EpsilonGreedy
907,0,EpsilonGreedy
908,1,EpsilonGreedy
909,0,EpsilonGreedy
910,1,EpsilonGreedy
911,0,EpsilonGreedy
912,1,EpsilonGreedy
913,0,EpsilonGreedy
914,0,EpsilonGreedy
915,0,EpsilonGreedy
916,0,EpsilonGreedy
917,0,EpsilonGreedy
918,0,EpsilonGreedy
919,1,EpsilonGreedy
920,0,EpsilonGreedy
921,1,EpsilonGreedy
922,0,EpsilonGreedy
923,0,EpsilonGreedy
924,1,EpsilonGreedy
925,0,EpsilonGreedy
926,0,EpsilonGreedy
927,1,EpsilonGreedy
928,0,EpsilonGreedy
929,0,EpsilonGreedy
930,0,EpsilonGreedy
931,0,EpsilonGreedy
932,1,EpsilonGreedy
933,1,EpsilonGreedy
934,0,EpsilonGreedy
935,1,EpsilonGreedy
936,1,EpsilonGreedy
937,0,EpsilonGreedy
938,0,EpsilonGreedy
939,0,EpsilonGreedy
940,0,EpsilonGreedy
941,1,EpsilonGreedy
942,0,EpsilonGreedy
943,1,EpsilonGreedy
944,0,EpsilonGreedy
945,0,EpsilonGreedy
946,0,EpsilonGreedy
947,1,EpsilonGreedy
948,0,EpsilonGreedy
949,0,EpsilonGreedy
950,0,EpsilonGreedy
951,0,EpsilonGreedy
952,0,EpsilonGreedy
953,0,EpsilonGreedy
954,1,EpsilonGreedy
955,1,EpsilonGreedy
956,0,EpsilonGreedy
957,0,EpsilonGreedy
958,0,EpsilonGreedy
959,0,EpsilonGreedy
960,1,EpsilonGreedy
961,0,EpsilonGreedy
962,1,EpsilonGreedy
963,0,EpsilonGreedy
964,0,EpsilonGreedy
965,0,EpsilonGreedy
966,1,EpsilonGreedy
967,0,EpsilonGreedy
968,0,EpsilonGreedy
969,0,EpsilonGreedy
970,0,EpsilonGreedy
971,1,EpsilonGreedy
972,1,EpsilonGreedy
973,0,EpsilonGreedy
974,0,EpsilonGreedy
975,0,EpsilonGreedy
976,0,EpsilonGreedy
977,1,EpsilonGreedy
978,0,EpsilonGreedy
979,1,EpsilonGreedy
980,0,EpsilonGreedy
981,0,EpsilonGreedy
982,0,EpsilonGreedy
983,0,EpsilonGreedy
984,0,EpsilonGreedy
985,0,EpsilonGreedy
986,1,EpsilonGreedy
987,0,EpsilonGreedy
988,1,EpsilonGreedy
989,0,EpsilonGreedy
990,0,EpsilonGreedy
991,0,EpsilonGreedy
992,1,EpsilonGreedy
993,0,EpsilonGreedy
994,0,EpsilonGreedy
995,1,EpsilonGreedy
996,0,EpsilonGreedy
