Bandit,Reward,Algorithm
195,0,ThompsonSampling
196,0,ThompsonSampling
197,0,ThompsonSampling
198,0,ThompsonSampling
199,1,ThompsonSampling
200,0,ThompsonSampling
201,0,ThompsonSampling
202,0,ThompsonSampling
203,0,ThompsonSampling
204,0,ThompsonSampling
205,1,ThompsonSampling
206,1,ThompsonSampling
207,0,ThompsonSampling
208,1,ThompsonSampling
209,1,ThompsonSampling
210,0,ThompsonSampling
211,0,ThompsonSampling
212,1,ThompsonSampling
213,0,ThompsonSampling
214,0,ThompsonSampling
215,0,ThompsonSampling
216,0,ThompsonSampling
217,1,ThompsonSampling
218,0,ThompsonSampling
219,1,ThompsonSampling
220,0,ThompsonSampling
221,0,ThompsonSampling
222,0,ThompsonSampling
223,1,ThompsonSampling
224,0,ThompsonSampling
225,0,ThompsonSampling
226,1,ThompsonSampling
227,1,ThompsonSampling
228,0,ThompsonSampling
229,1,ThompsonSampling
230,0,ThompsonSampling
231,0,ThompsonSampling
232,1,ThompsonSampling
233,0,ThompsonSampling
234,0,ThompsonSampling
235,1,ThompsonSampling
236,0,ThompsonSampling
237,0,ThompsonSampling
238,1,ThompsonSampling
239,0,ThompsonSampling
240,0,ThompsonSampling
241,1,ThompsonSampling
242,0,ThompsonSampling
243,0,ThompsonSampling
244,1,ThompsonSampling
245,0,ThompsonSampling
246,0,ThompsonSampling
247,1,ThompsonSampling
248,1,ThompsonSampling
249,0,ThompsonSampling
250,0,ThompsonSampling
251,0,ThompsonSampling
252,1,ThompsonSampling
253,1,ThompsonSampling
254,1,ThompsonSampling
255,0,ThompsonSampling
256,1,ThompsonSampling
257,0,ThompsonSampling
258,0,ThompsonSampling
259,0,ThompsonSampling
260,0,ThompsonSampling
261,1,ThompsonSampling
262,1,ThompsonSampling
263,0,ThompsonSampling
264,1,ThompsonSampling
265,0,ThompsonSampling
266,1,ThompsonSampling
267,0,ThompsonSampling
268,0,ThompsonSampling
269,0,ThompsonSampling
270,0,ThompsonSampling
271,0,ThompsonSampling
272,0,ThompsonSampling
273,1,ThompsonSampling
274,0,ThompsonSampling
275,0,ThompsonSampling
276,1,ThompsonSampling
277,1,ThompsonSampling
278,0,ThompsonSampling
279,0,ThompsonSampling
280,1,ThompsonSampling
281,1,ThompsonSampling
282,0,ThompsonSampling
283,0,ThompsonSampling
284,1,ThompsonSampling
285,0,ThompsonSampling
286,0,ThompsonSampling
287,1,ThompsonSampling
288,0,ThompsonSampling
289,1,ThompsonSampling
290,0,ThompsonSampling
291,1,ThompsonSampling
292,0,ThompsonSampling
293,0,ThompsonSampling
294,0,ThompsonSampling
295,0,ThompsonSampling
296,0,ThompsonSampling
297,1,ThompsonSampling
298,0,ThompsonSampling
299,0,ThompsonSampling
300,0,ThompsonSampling
301,1,ThompsonSampling
302,0,ThompsonSampling
303,0,ThompsonSampling
304,0,ThompsonSampling
305,0,ThompsonSampling
306,0,ThompsonSampling
307,0,ThompsonSampling
308,0,ThompsonSampling
309,0,ThompsonSampling
310,1,ThompsonSampling
311,1,ThompsonSampling
312,0,ThompsonSampling
313,1,ThompsonSampling
314,0,ThompsonSampling
315,1,ThompsonSampling
316,1,ThompsonSampling
317,0,ThompsonSampling
318,0,ThompsonSampling
319,0,ThompsonSampling
320,1,ThompsonSampling
321,0,ThompsonSampling
322,0,ThompsonSampling
323,1,ThompsonSampling
324,0,ThompsonSampling
325,0,ThompsonSampling
326,0,ThompsonSampling
327,0,ThompsonSampling
328,0,ThompsonSampling
329,0,ThompsonSampling
330,0,ThompsonSampling
331,1,ThompsonSampling
332,0,ThompsonSampling
333,1,ThompsonSampling
334,1,ThompsonSampling
335,1,ThompsonSampling
336,0,ThompsonSampling
337,1,ThompsonSampling
338,1,ThompsonSampling
339,0,ThompsonSampling
340,1,ThompsonSampling
341,1,ThompsonSampling
342,1,ThompsonSampling
343,1,ThompsonSampling
344,0,ThompsonSampling
345,1,ThompsonSampling
346,1,ThompsonSampling
347,0,ThompsonSampling
348,1,ThompsonSampling
349,0,ThompsonSampling
350,0,ThompsonSampling
351,0,ThompsonSampling
352,0,ThompsonSampling
353,0,ThompsonSampling
354,0,ThompsonSampling
355,0,ThompsonSampling
356,0,ThompsonSampling
357,0,ThompsonSampling
358,0,ThompsonSampling
359,1,ThompsonSampling
360,1,ThompsonSampling
361,0,ThompsonSampling
362,1,ThompsonSampling
363,0,ThompsonSampling
364,0,ThompsonSampling
365,1,ThompsonSampling
366,0,ThompsonSampling
367,1,ThompsonSampling
368,1,ThompsonSampling
369,1,ThompsonSampling
370,1,ThompsonSampling
371,1,ThompsonSampling
372,0,ThompsonSampling
373,1,ThompsonSampling
374,0,ThompsonSampling
375,0,ThompsonSampling
376,1,ThompsonSampling
377,0,ThompsonSampling
378,0,ThompsonSampling
379,0,ThompsonSampling
380,0,ThompsonSampling
381,0,ThompsonSampling
382,1,ThompsonSampling
383,0,ThompsonSampling
384,0,ThompsonSampling
385,0,ThompsonSampling
386,1,ThompsonSampling
387,0,ThompsonSampling
388,0,ThompsonSampling
389,0,ThompsonSampling
390,0,ThompsonSampling
391,0,ThompsonSampling
392,1,ThompsonSampling
393,0,ThompsonSampling
394,0,ThompsonSampling
395,1,ThompsonSampling
396,1,ThompsonSampling
397,0,ThompsonSampling
398,0,ThompsonSampling
399,1,ThompsonSampling
400,0,ThompsonSampling
401,1,ThompsonSampling
402,1,ThompsonSampling
403,1,ThompsonSampling
404,1,ThompsonSampling
405,0,ThompsonSampling
406,0,ThompsonSampling
407,1,ThompsonSampling
408,0,ThompsonSampling
409,0,ThompsonSampling
410,0,ThompsonSampling
411,1,ThompsonSampling
412,0,ThompsonSampling
413,0,ThompsonSampling
414,1,ThompsonSampling
415,1,ThompsonSampling
416,1,ThompsonSampling
417,1,ThompsonSampling
418,0,ThompsonSampling
419,0,ThompsonSampling
420,0,ThompsonSampling
421,0,ThompsonSampling
422,1,ThompsonSampling
423,0,ThompsonSampling
424,1,ThompsonSampling
425,0,ThompsonSampling
426,0,ThompsonSampling
427,0,ThompsonSampling
428,0,ThompsonSampling
429,0,ThompsonSampling
430,0,ThompsonSampling
431,0,ThompsonSampling
432,1,ThompsonSampling
433,0,ThompsonSampling
434,0,ThompsonSampling
435,1,ThompsonSampling
436,1,ThompsonSampling
437,0,ThompsonSampling
438,1,ThompsonSampling
439,1,ThompsonSampling
440,0,ThompsonSampling
441,0,ThompsonSampling
442,0,ThompsonSampling
443,1,ThompsonSampling
444,0,ThompsonSampling
445,0,ThompsonSampling
446,0,ThompsonSampling
447,0,ThompsonSampling
448,0,ThompsonSampling
449,0,ThompsonSampling
450,1,ThompsonSampling
451,0,ThompsonSampling
452,0,ThompsonSampling
453,0,ThompsonSampling
454,0,ThompsonSampling
455,0,ThompsonSampling
456,1,ThompsonSampling
457,1,ThompsonSampling
458,0,ThompsonSampling
459,0,ThompsonSampling
460,1,ThompsonSampling
461,1,ThompsonSampling
462,0,ThompsonSampling
463,0,ThompsonSampling
464,1,ThompsonSampling
465,0,ThompsonSampling
466,0,ThompsonSampling
467,1,ThompsonSampling
468,0,ThompsonSampling
469,0,ThompsonSampling
470,1,ThompsonSampling
471,1,ThompsonSampling
472,1,ThompsonSampling
473,1,ThompsonSampling
474,0,ThompsonSampling
475,1,ThompsonSampling
476,0,ThompsonSampling
477,0,ThompsonSampling
478,0,ThompsonSampling
479,0,ThompsonSampling
480,0,ThompsonSampling
481,1,ThompsonSampling
482,1,ThompsonSampling
483,1,ThompsonSampling
484,0,ThompsonSampling
485,0,ThompsonSampling
486,0,ThompsonSampling
487,0,ThompsonSampling
488,0,ThompsonSampling
489,1,ThompsonSampling
490,0,ThompsonSampling
491,0,ThompsonSampling
492,1,ThompsonSampling
493,0,ThompsonSampling
494,1,ThompsonSampling
495,1,ThompsonSampling
496,0,ThompsonSampling
497,0,ThompsonSampling
498,1,ThompsonSampling
499,0,ThompsonSampling
500,1,ThompsonSampling
501,0,ThompsonSampling
502,0,ThompsonSampling
503,1,ThompsonSampling
504,1,ThompsonSampling
505,0,ThompsonSampling
506,0,ThompsonSampling
507,1,ThompsonSampling
508,0,ThompsonSampling
509,0,ThompsonSampling
510,0,ThompsonSampling
511,0,ThompsonSampling
512,0,ThompsonSampling
513,0,ThompsonSampling
514,0,ThompsonSampling
515,0,ThompsonSampling
516,0,ThompsonSampling
517,1,ThompsonSampling
518,0,ThompsonSampling
519,0,ThompsonSampling
520,1,ThompsonSampling
521,0,ThompsonSampling
522,0,ThompsonSampling
523,1,ThompsonSampling
524,0,ThompsonSampling
525,0,ThompsonSampling
526,1,ThompsonSampling
527,1,ThompsonSampling
528,0,ThompsonSampling
529,1,ThompsonSampling
530,1,ThompsonSampling
531,0,ThompsonSampling
532,0,ThompsonSampling
533,0,ThompsonSampling
534,0,ThompsonSampling
535,0,ThompsonSampling
536,0,ThompsonSampling
537,0,ThompsonSampling
538,1,ThompsonSampling
539,1,ThompsonSampling
540,0,ThompsonSampling
541,1,ThompsonSampling
542,0,ThompsonSampling
543,0,ThompsonSampling
544,1,ThompsonSampling
545,1,ThompsonSampling
546,1,ThompsonSampling
547,1,ThompsonSampling
548,0,ThompsonSampling
549,0,ThompsonSampling
550,0,ThompsonSampling
551,0,ThompsonSampling
552,0,ThompsonSampling
553,0,ThompsonSampling
554,0,ThompsonSampling
555,0,ThompsonSampling
556,0,ThompsonSampling
557,0,ThompsonSampling
558,0,ThompsonSampling
559,0,ThompsonSampling
560,1,ThompsonSampling
561,1,ThompsonSampling
562,0,ThompsonSampling
563,1,ThompsonSampling
564,0,ThompsonSampling
565,1,ThompsonSampling
566,0,ThompsonSampling
567,0,ThompsonSampling
568,1,ThompsonSampling
569,0,ThompsonSampling
570,0,ThompsonSampling
571,1,ThompsonSampling
572,0,ThompsonSampling
573,1,ThompsonSampling
574,1,ThompsonSampling
575,1,ThompsonSampling
576,0,ThompsonSampling
577,1,ThompsonSampling
578,1,ThompsonSampling
579,0,ThompsonSampling
580,0,ThompsonSampling
581,0,ThompsonSampling
582,0,ThompsonSampling
583,0,ThompsonSampling
584,0,ThompsonSampling
585,0,ThompsonSampling
586,1,ThompsonSampling
587,0,ThompsonSampling
588,1,ThompsonSampling
589,0,ThompsonSampling
590,0,ThompsonSampling
591,0,ThompsonSampling
592,0,ThompsonSampling
593,0,ThompsonSampling
594,1,ThompsonSampling
595,0,ThompsonSampling
596,0,ThompsonSampling
597,0,ThompsonSampling
598,0,ThompsonSampling
599,1,ThompsonSampling
600,0,ThompsonSampling
601,0,ThompsonSampling
602,1,ThompsonSampling
603,1,ThompsonSampling
604,1,ThompsonSampling
605,1,ThompsonSampling
606,1,ThompsonSampling
607,0,ThompsonSampling
608,0,ThompsonSampling
609,1,ThompsonSampling
610,0,ThompsonSampling
611,0,ThompsonSampling
612,1,ThompsonSampling
613,0,ThompsonSampling
614,0,ThompsonSampling
615,1,ThompsonSampling
616,1,ThompsonSampling
617,0,ThompsonSampling
618,1,ThompsonSampling
619,0,ThompsonSampling
620,0,ThompsonSampling
621,0,ThompsonSampling
622,0,ThompsonSampling
623,0,ThompsonSampling
624,0,ThompsonSampling
625,0,ThompsonSampling
626,0,ThompsonSampling
627,0,ThompsonSampling
628,1,ThompsonSampling
629,0,ThompsonSampling
630,0,ThompsonSampling
631,1,ThompsonSampling
632,0,ThompsonSampling
633,1,ThompsonSampling
634,0,ThompsonSampling
635,1,ThompsonSampling
636,0,ThompsonSampling
637,1,ThompsonSampling
638,0,ThompsonSampling
639,0,ThompsonSampling
640,0,ThompsonSampling
641,0,ThompsonSampling
642,0,ThompsonSampling
643,1,ThompsonSampling
644,0,ThompsonSampling
645,1,ThompsonSampling
646,1,ThompsonSampling
647,0,ThompsonSampling
648,1,ThompsonSampling
649,1,ThompsonSampling
650,1,ThompsonSampling
651,1,ThompsonSampling
652,1,ThompsonSampling
653,1,ThompsonSampling
654,1,ThompsonSampling
655,0,ThompsonSampling
656,0,ThompsonSampling
657,0,ThompsonSampling
658,0,ThompsonSampling
659,1,ThompsonSampling
660,0,ThompsonSampling
661,0,ThompsonSampling
662,0,ThompsonSampling
663,1,ThompsonSampling
664,0,ThompsonSampling
665,1,ThompsonSampling
666,0,ThompsonSampling
667,0,ThompsonSampling
668,0,ThompsonSampling
669,0,ThompsonSampling
670,0,ThompsonSampling
671,0,ThompsonSampling
672,0,ThompsonSampling
673,0,ThompsonSampling
674,1,ThompsonSampling
675,0,ThompsonSampling
676,1,ThompsonSampling
677,1,ThompsonSampling
678,1,ThompsonSampling
679,0,ThompsonSampling
680,0,ThompsonSampling
681,0,ThompsonSampling
682,0,ThompsonSampling
683,1,ThompsonSampling
684,0,ThompsonSampling
685,1,ThompsonSampling
686,0,ThompsonSampling
687,0,ThompsonSampling
688,1,ThompsonSampling
689,0,ThompsonSampling
690,1,ThompsonSampling
691,0,ThompsonSampling
692,0,ThompsonSampling
693,1,ThompsonSampling
694,0,ThompsonSampling
695,0,ThompsonSampling
696,0,ThompsonSampling
697,0,ThompsonSampling
698,0,ThompsonSampling
699,1,ThompsonSampling
700,0,ThompsonSampling
701,0,ThompsonSampling
702,0,ThompsonSampling
703,0,ThompsonSampling
704,0,ThompsonSampling
705,1,ThompsonSampling
706,1,ThompsonSampling
707,1,ThompsonSampling
708,1,ThompsonSampling
709,0,ThompsonSampling
710,0,ThompsonSampling
711,0,ThompsonSampling
712,0,ThompsonSampling
713,0,ThompsonSampling
714,1,ThompsonSampling
715,0,ThompsonSampling
716,0,ThompsonSampling
717,0,ThompsonSampling
718,0,ThompsonSampling
719,0,ThompsonSampling
720,1,ThompsonSampling
721,0,ThompsonSampling
722,0,ThompsonSampling
723,0,ThompsonSampling
724,1,ThompsonSampling
725,0,ThompsonSampling
726,0,ThompsonSampling
727,0,ThompsonSampling
728,0,ThompsonSampling
729,1,ThompsonSampling
730,0,ThompsonSampling
731,1,ThompsonSampling
732,1,ThompsonSampling
733,0,ThompsonSampling
734,1,ThompsonSampling
735,0,ThompsonSampling
736,1,ThompsonSampling
737,0,ThompsonSampling
738,1,ThompsonSampling
739,1,ThompsonSampling
740,0,ThompsonSampling
741,1,ThompsonSampling
742,0,ThompsonSampling
743,0,ThompsonSampling
744,1,ThompsonSampling
745,0,ThompsonSampling
746,1,ThompsonSampling
747,1,ThompsonSampling
748,0,ThompsonSampling
749,1,ThompsonSampling
750,0,ThompsonSampling
751,1,ThompsonSampling
752,0,ThompsonSampling
753,1,ThompsonSampling
754,0,ThompsonSampling
755,1,ThompsonSampling
756,1,ThompsonSampling
757,1,ThompsonSampling
758,0,ThompsonSampling
759,1,ThompsonSampling
760,0,ThompsonSampling
761,0,ThompsonSampling
762,0,ThompsonSampling
763,0,ThompsonSampling
764,1,ThompsonSampling
765,1,ThompsonSampling
766,0,ThompsonSampling
767,1,ThompsonSampling
768,1,ThompsonSampling
769,0,ThompsonSampling
770,1,ThompsonSampling
771,1,ThompsonSampling
772,0,ThompsonSampling
773,0,ThompsonSampling
774,0,ThompsonSampling
775,0,ThompsonSampling
776,0,ThompsonSampling
777,1,ThompsonSampling
778,0,ThompsonSampling
779,0,ThompsonSampling
780,0,ThompsonSampling
781,0,ThompsonSampling
782,0,ThompsonSampling
783,1,ThompsonSampling
784,0,ThompsonSampling
785,0,ThompsonSampling
786,0,ThompsonSampling
787,1,ThompsonSampling
788,1,ThompsonSampling
789,0,ThompsonSampling
790,1,ThompsonSampling
791,1,ThompsonSampling
792,1,ThompsonSampling
793,1,ThompsonSampling
794,1,ThompsonSampling
795,1,ThompsonSampling
796,0,ThompsonSampling
797,1,ThompsonSampling
798,0,ThompsonSampling
799,1,ThompsonSampling
800,0,ThompsonSampling
801,1,ThompsonSampling
802,0,ThompsonSampling
803,1,ThompsonSampling
804,1,ThompsonSampling
805,1,ThompsonSampling
806,1,ThompsonSampling
807,1,ThompsonSampling
808,1,ThompsonSampling
809,0,ThompsonSampling
810,0,ThompsonSampling
811,0,ThompsonSampling
812,0,ThompsonSampling
813,1,ThompsonSampling
814,0,ThompsonSampling
815,0,ThompsonSampling
816,0,ThompsonSampling
817,0,ThompsonSampling
818,0,ThompsonSampling
819,0,ThompsonSampling
820,1,ThompsonSampling
821,0,ThompsonSampling
822,1,ThompsonSampling
823,1,ThompsonSampling
824,1,ThompsonSampling
825,0,ThompsonSampling
826,1,ThompsonSampling
827,0,ThompsonSampling
828,0,ThompsonSampling
829,1,ThompsonSampling
830,0,ThompsonSampling
831,0,ThompsonSampling
832,1,ThompsonSampling
833,1,ThompsonSampling
834,0,ThompsonSampling
835,0,ThompsonSampling
836,0,ThompsonSampling
837,0,ThompsonSampling
838,1,ThompsonSampling
839,0,ThompsonSampling
840,1,ThompsonSampling
841,1,ThompsonSampling
842,0,ThompsonSampling
843,0,ThompsonSampling
844,1,ThompsonSampling
845,1,ThompsonSampling
846,0,ThompsonSampling
847,1,ThompsonSampling
848,0,ThompsonSampling
849,0,ThompsonSampling
850,0,ThompsonSampling
851,0,ThompsonSampling
852,1,ThompsonSampling
853,0,ThompsonSampling
854,1,ThompsonSampling
855,0,ThompsonSampling
856,1,ThompsonSampling
857,1,ThompsonSampling
858,1,ThompsonSampling
859,0,ThompsonSampling
860,0,ThompsonSampling
861,0,ThompsonSampling
862,1,ThompsonSampling
863,1,ThompsonSampling
864,0,ThompsonSampling
865,1,ThompsonSampling
866,1,ThompsonSampling
867,0,ThompsonSampling
868,0,ThompsonSampling
869,1,ThompsonSampling
870,1,ThompsonSampling
871,1,ThompsonSampling
872,0,ThompsonSampling
873,1,ThompsonSampling
874,1,ThompsonSampling
875,0,ThompsonSampling
876,1,ThompsonSampling
877,0,ThompsonSampling
878,1,ThompsonSampling
879,0,ThompsonSampling
880,0,ThompsonSampling
881,0,ThompsonSampling
882,1,ThompsonSampling
883,1,ThompsonSampling
884,1,ThompsonSampling
885,0,ThompsonSampling
886,0,ThompsonSampling
887,0,ThompsonSampling
888,0,ThompsonSampling
889,0,ThompsonSampling
890,1,ThompsonSampling
891,0,ThompsonSampling
892,0,ThompsonSampling
893,0,ThompsonSampling
894,1,ThompsonSampling
895,0,ThompsonSampling
896,0,ThompsonSampling
897,0,ThompsonSampling
898,1,ThompsonSampling
899,0,ThompsonSampling
900,1,ThompsonSampling
901,0,ThompsonSampling
902,0,ThompsonSampling
903,0,ThompsonSampling
904,1,ThompsonSampling
905,1,ThompsonSampling
906,0,ThompsonSampling
907,1,ThompsonSampling
908,1,ThompsonSampling
909,0,ThompsonSampling
910,0,ThompsonSampling
911,0,ThompsonSampling
912,0,ThompsonSampling
913,1,ThompsonSampling
914,1,ThompsonSampling
915,0,ThompsonSampling
916,0,ThompsonSampling
917,1,ThompsonSampling
918,1,ThompsonSampling
919,0,ThompsonSampling
920,1,ThompsonSampling
921,0,ThompsonSampling
922,0,ThompsonSampling
923,0,ThompsonSampling
924,0,ThompsonSampling
925,0,ThompsonSampling
926,1,ThompsonSampling
927,0,ThompsonSampling
928,0,ThompsonSampling
929,1,ThompsonSampling
930,0,ThompsonSampling
931,0,ThompsonSampling
932,0,ThompsonSampling
933,1,ThompsonSampling
934,0,ThompsonSampling
935,1,ThompsonSampling
936,1,ThompsonSampling
937,1,ThompsonSampling
938,1,ThompsonSampling
939,1,ThompsonSampling
940,0,ThompsonSampling
941,0,ThompsonSampling
942,0,ThompsonSampling
943,1,ThompsonSampling
944,0,ThompsonSampling
945,1,ThompsonSampling
946,0,ThompsonSampling
947,0,ThompsonSampling
948,1,ThompsonSampling
949,1,ThompsonSampling
950,0,ThompsonSampling
951,0,ThompsonSampling
952,0,ThompsonSampling
953,1,ThompsonSampling
954,0,ThompsonSampling
955,0,ThompsonSampling
956,1,ThompsonSampling
957,0,ThompsonSampling
958,1,ThompsonSampling
959,0,ThompsonSampling
960,1,ThompsonSampling
961,0,ThompsonSampling
962,1,ThompsonSampling
963,0,ThompsonSampling
964,0,ThompsonSampling
965,0,ThompsonSampling
966,0,ThompsonSampling
967,1,ThompsonSampling
968,1,ThompsonSampling
969,1,ThompsonSampling
970,0,ThompsonSampling
971,1,ThompsonSampling
972,0,ThompsonSampling
973,0,ThompsonSampling
974,0,ThompsonSampling
975,1,ThompsonSampling
976,0,ThompsonSampling
977,0,ThompsonSampling
978,0,ThompsonSampling
979,0,ThompsonSampling
980,0,ThompsonSampling
981,0,ThompsonSampling
982,0,ThompsonSampling
983,0,ThompsonSampling
984,1,ThompsonSampling
985,0,ThompsonSampling
986,0,ThompsonSampling
987,1,ThompsonSampling
988,1,ThompsonSampling
989,1,ThompsonSampling
990,1,ThompsonSampling
991,0,ThompsonSampling
992,0,ThompsonSampling
993,1,ThompsonSampling
994,0,ThompsonSampling
995,1,ThompsonSampling
996,0,ThompsonSampling
997,0,ThompsonSampling
998,0,ThompsonSampling
999,0,ThompsonSampling
1000,1,ThompsonSampling
1001,1,ThompsonSampling
1002,0,ThompsonSampling
1003,0,ThompsonSampling
1004,0,ThompsonSampling
1005,1,ThompsonSampling
1006,0,ThompsonSampling
1007,0,ThompsonSampling
1008,0,ThompsonSampling
1009,1,ThompsonSampling
1010,0,ThompsonSampling
1011,0,ThompsonSampling
1012,1,ThompsonSampling
1013,0,ThompsonSampling
1014,0,ThompsonSampling
1015,1,ThompsonSampling
1016,1,ThompsonSampling
1017,0,ThompsonSampling
1018,0,ThompsonSampling
1019,1,ThompsonSampling
1020,1,ThompsonSampling
1021,1,ThompsonSampling
1022,1,ThompsonSampling
1023,0,ThompsonSampling
1024,0,ThompsonSampling
1025,0,ThompsonSampling
1026,1,ThompsonSampling
1027,0,ThompsonSampling
1028,1,ThompsonSampling
1029,0,ThompsonSampling
1030,0,ThompsonSampling
1031,0,ThompsonSampling
1032,1,ThompsonSampling
1033,0,ThompsonSampling
1034,1,ThompsonSampling
1035,0,ThompsonSampling
1036,1,ThompsonSampling
1037,0,ThompsonSampling
1038,0,ThompsonSampling
1039,0,ThompsonSampling
1040,1,ThompsonSampling
1041,0,ThompsonSampling
1042,0,ThompsonSampling
1043,1,ThompsonSampling
1044,0,ThompsonSampling
1045,1,ThompsonSampling
1046,0,ThompsonSampling
1047,1,ThompsonSampling
1048,1,ThompsonSampling
1049,0,ThompsonSampling
1050,0,ThompsonSampling
1051,1,ThompsonSampling
1052,0,ThompsonSampling
1053,0,ThompsonSampling
1054,1,ThompsonSampling
1055,1,ThompsonSampling
1056,1,ThompsonSampling
1057,0,ThompsonSampling
1058,0,ThompsonSampling
1059,1,ThompsonSampling
1060,1,ThompsonSampling
1061,0,ThompsonSampling
1062,1,ThompsonSampling
1063,1,ThompsonSampling
1064,1,ThompsonSampling
1065,1,ThompsonSampling
1066,0,ThompsonSampling
1067,0,ThompsonSampling
1068,0,ThompsonSampling
